ID,DetoV(L/kg),SMILES
ABAGIV,749,C/C(=N\Nc1ccccc1C)/c1cccc(c1)[N+](=O)[O-]
ABENAX,555,COC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ABENUQ,662,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccnc1[N+](=O)[O-]
ACALAR,555,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
ACALEV,663,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1c(C)cccc1C
ACALIZ,751,CCc1cccc(c1NC(=O)c1ccc(cc1)[N+](=O)[O-])CC
ACALUL,751,O=C(c1ccc(cc1)C(C)(C)C)Nc1ccc(cc1)[N+](=O)[O-]
ACANOH,636,O=C(c1ccncc1)NCCO[N+](=O)[O-]
ACEMUR,508,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccc2c(c1)OCO2)[N+](=O)[O-]
ACENIH,727,CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C
ACERIK,548,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1[N+](=O)[O-]
ACIDAR,535,[O-][N+](=O)c1ccccc1N/N=C/1\C=CC(=O)c2c1cccc2
ACISAI01,614,[O-][N+](=O)c1cnn(c1)Cc1ccc(cc1)Cn1ncc(c1)[N+](=O)[O-]
ACOWIY,723,[O-][N+](=O)C1(CNC1)[N+](=O)[O-]
ACOWOE,671,O=CN1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
ACOWUK,664,O=C(N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
ADAVIL,680,CCOc1ccc(cc1)/N=C/C=C/c1ccccc1[N+](=O)[O-]
ADEWEM,535,C/C(=N\Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1
ADIDUN,674,CCc1nn(c(c1[N+](=O)[O-])C(=O)n1cnc2c1cccc2)C
ADOLEK,804,[O-][N+](=O)c1cc(ccc1NN=C1CCCCCCC1)[N+](=O)[O-]
ADOMAK,584,O=C(N1CCc2c1ccc(c2)[N+](=O)[O-])c1ccccc1
AFAZUD,678,[O-][N+](=O)[C@]12C[C@@H]3[C@](C1)(C[C@H]2C3)[N+](=O)[O-]
AFEXEP,692,CCC(=O)Nc1ccc(cc1)[N+](=O)[O-]
AFONOA,647,Nc1ccc(cc1/N=C/c1ccncc1)[N+](=O)[O-]
AFOPUI,520,Oc1ccc(cc1/C=N/c1cccc(c1C)[N+](=O)[O-])[N+](=O)[O-]
AFOVUP,809,CN(c1ccc(cc1)[N+](=O)[O-])C
AGAXUD,627,[O-][N+](=O)c1ccc(cc1)Cc1ccncc1
AGIXUM,503,O=[N+]1O[N-]C(=C1[C@H](c1cccc(c1)[N+](=O)[O-])C)c1cccc(c1)[N+](=O)[O-]
AGUNUN,762,CCO[C@@H](n1ncc2c1cccc2[N+](=O)[O-])C
AHADOE,637,COc1cccc(c1)[C@@H](C/C(=c\1/cccc[n+]1=O)/[O-])C[N+](=O)[O-]
AHIDAY,605,Oc1ccccc1/C=N/N(c1ccccc1[N+](=O)[O-])c1ccccc1
AKEDUR,490,Oc1ccccc1C(=O)c1cn(C)c(=O)c(c1)[N+](=O)[O-]
AKUPIG,712,[O-][N+](=O)C([C@H]1OC(=N)c2c1cccc2)(C)C
